============= No.1 test case ===============
true
latency:  586399331 39655069 11340160 6400662
weights: [95 100 100 105]
latency:  2071801554 44747949 5644788 5927606
weights: [90.25 100 104.75 105]
latency:  5246937840 380848873 6266325 6691613
weights: [85.7375 100 109.2625 105]
latency:  7239027043 543318044 7349325 6361399
weights: [81.45062499999999 100 109.2625 109.286875]
latency:  7996644455 459555493 6043459 6342623
weights: [77.37809374999999 100 113.33503125 109.286875]
latency:  7852107580 520103551 6210632 6838328
weights: [73.50918906249998 100 117.2039359375 109.286875]
latency:  8250695000 524304036 6821347 6322752
weights: [69.83372960937498 100 117.2039359375 112.962334453125]
latency:  6097973297 536981868 6015028 5862464
weights: [66.34204312890623 100 117.2039359375 116.45402093359374]
latency:  4271108383 480707890 7184100 7065896
weights: [63.02494097246091 100 117.2039359375 119.77112309003905]
latency:  9564723375 516827682 6456299 5466177
weights: [59.87369392383786 100 117.2039359375 122.9223701386621]
latency:  11658928991 643707273 7126961 6865204
weights: [56.880009227645964 100 117.2039359375 125.916054834854]
latency:  8240990327 510018914 7160542 7790368
weights: [54.03600876626366 100 120.0479363988823 125.916054834854]
latency:  9501456861 296708673 6840100 6642055
weights: [51.33420832795048 100 120.0479363988823 128.61785527316718]
latency:  12268103433 155360921 6665547 6466158
weights: [48.76749791155295 100 120.0479363988823 131.1845656895647]
latency:  14897644504 152433811 6379574 5762476
weights: [46.3291230159753 100 120.0479363988823 133.62294058514235]
latency:  29557504260 281381911 6707993 6533146
weights: [44.012666865176534 100 120.0479363988823 135.9393967359411]
latency:  23686680694 487057544 6867682 5987528
weights: [41.812033521917705 100 120.0479363988823 138.14003007919993]
latency:  25381854903 479521703 6861128 6843801
weights: [39.72143184582182 100 120.0479363988823 140.2306317552958]
latency:  36322981660 228318882 7180625 6585119
weights: [37.73536025353073 100 120.0479363988823 142.2167033475869]
latency:  22252226651 108152941 7044728 6773345
weights: [35.84859224085419 100 120.0479363988823 144.10347136026343]
latency:  23285925461 41304986 6224750 6846551
weights: [34.05616262881148 100 121.84036601092501 144.10347136026343]
latency:  21639700149 35187901 6635148 6374268
weights: [32.3533544973709 100 121.84036601092501 145.806279491704]
latency:  19683656551 25442703 6392508 6784834
weights: [30.735686772502355 100 123.45803373579355 145.806279491704]
latency:  46682834312 20650707 5981983 5433869
weights: [29.198902433877237 100 123.45803373579355 147.34306383032913]
latency:  34403865872 55415714 6676111 6402260
weights: [27.738957312183373 100 123.45803373579355 148.803008952023]
latency:  37744502495 50301201 6622823 6522097
weights: [26.352009446574204 100 123.45803373579355 150.18995681763215]
latency:  41556657219 122779007 6426554 7033636
weights: [25.034408974245494 100 124.77563420812226 150.18995681763215]
latency:  46615888371 210816719 6745553 6638725
weights: [23.782688525533217 100 124.77563420812226 151.4416772663444]
latency:  45939648333 131355941 5814556 7527882
weights: [22.593554099256554 100 125.96476863439892 151.4416772663444]
latency:  35680260041 70559635 6500744 7214929
weights: [21.463876394293724 100 127.09444633936175 151.4416772663444]
latency:  51691730570 71478918 6436539 7196507
weights: [20.390682574579035 100 128.16764015907643 151.4416772663444]
latency:  54202993763 244781395 6584885 6691630
weights: [19.371148445850082 100 129.1871742878054 151.4416772663444]
latency:  52928855248 98526941 6452474 6574626
weights: [18.402591023557576 100 130.15573171009788 151.4416772663444]
latency:  77321231954 125893102 6598201 7130487
weights: [17.482461472379697 100 131.07586126127575 151.4416772663444]
latency:  55156465007 35725977 5584068 5749156
weights: [16.60833839876071 100 131.94998433489474 151.4416772663444]
latency:  77134148802 169401091 6259485 6503296
weights: [15.777921478822675 100 132.78040125483278 151.4416772663444]
latency:  77158824370 363874669 6857984 6587906
weights: [14.98902540488154 100 132.78040125483278 152.23057334028556]
latency:  65440323760 447229282 6696572 6639440
weights: [14.239574134637461 100 132.78040125483278 152.98002461052963]
latency:  65155329284 761514625 6948205 6355743
weights: [13.527595427905588 100 132.78040125483278 153.6920033172615]
latency:  51853919310 364453142 6279600 6732220
weights: [12.851215656510307 100 133.45678102622807 153.6920033172615]
latency:  55912405858 85203601 7254663 7138728
weights: [12.208654873684791 100 133.45678102622807 154.33456410008702]
latency:  110153301863 27733930 7069032 7059711
weights: [11.59822213000055 100 133.45678102622807 154.94499684377126]
latency:  95231042079 24709917 7475318 6618669
weights: [11.018311023500523 100 133.45678102622807 155.52490795027128]
latency:  92386284475 81753447 6829736 6510213
weights: [10.467395472325496 100 133.45678102622807 156.0758235014463]
latency:  79908717808 107275800 8520703 5467041
weights: [9.94402569870922 100 133.45678102622807 156.5991932750626]
latency:  55908245142 57707233 6414175 6529647
weights: [9.44682441377376 100 133.95398231116354 156.5991932750626]
latency:  120135633685 66582167 6548218 6130659
